@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
135,500,51,91,84,0.52,0.907441,0.846024,0.907441,0.153976,0.875657,0.81405,1.114724,0.173602
136,500,51,90,85,0.514286,0.907441,0.847458,0.907441,0.152542,0.876424,0.812672,1.116614,0.183601
137,499,52,90,85,0.514286,0.905626,0.847199,0.905626,0.152801,0.875439,0.811295,1.116273,0.185541
138,498,53,90,85,0.514286,0.903811,0.846939,0.903811,0.153061,0.874451,0.809917,1.11593,0.186585
139,498,53,89,86,0.508571,0.903811,0.848382,0.903811,0.151618,0.87522,0.80854,1.117831,0.192678
140,498,53,88,87,0.502857,0.903811,0.849829,0.903811,0.150171,0.875989,0.807163,1.119739,0.198277
141,497,54,88,87,0.502857,0.901996,0.849573,0.901996,0.150427,0.875,0.805785,1.119401,0.216047
142,497,54,87,88,0.497143,0.901996,0.851027,0.901996,0.148973,0.875771,0.804408,1.121317,0.218139
143,497,54,86,89,0.491429,0.901996,0.852487,0.901996,0.147513,0.876543,0.80303,1.123241,0.222497
144,496,55,86,89,0.491429,0.900181,0.852234,0.900181,0.147766,0.875552,0.801653,1.122907,0.249623
145,496,55,85,90,0.485714,0.900181,0.853701,0.900181,0.146299,0.876325,0.800275,1.12484,0.25386
146,495,56,85,90,0.485714,0.898367,0.853448,0.898367,0.146552,0.875332,0.798898,1.124507,0.255957
147,494,57,85,90,0.485714,0.896552,0.853195,0.896552,0.146805,0.874336,0.797521,1.124174,0.259018
148,493,58,85,90,0.485714,0.894737,0.852941,0.894737,0.147059,0.873339,0.796143,1.123839,0.284235
149,492,59,85,90,0.485714,0.892922,0.852686,0.892922,0.147314,0.87234,0.794766,1.123503,0.299165
150,491,60,85,90,0.485714,0.891107,0.852431,0.891107,0.147569,0.87134,0.793388,1.123166,0.310787
151,490,61,85,90,0.485714,0.889292,0.852174,0.889292,0.147826,0.870337,0.792011,1.122828,0.311351
152,490,61,84,91,0.48,0.889292,0.853659,0.889292,0.146341,0.871111,0.790634,1.124784,0.338193
153,490,61,83,92,0.474286,0.889292,0.855148,0.889292,0.144852,0.871886,0.789256,1.126747,0.338529
154,490,61,82,93,0.468571,0.889292,0.856643,0.889292,0.143357,0.872663,0.787879,1.128717,0.338684
155,489,62,82,93,0.468571,0.887477,0.856392,0.887477,0.143608,0.871658,0.786501,1.128386,0.339775
156,488,63,82,93,0.468571,0.885662,0.85614,0.885662,0.14386,0.870651,0.785124,1.128054,0.343817
157,488,63,81,94,0.462857,0.885662,0.857645,0.885662,0.142355,0.871429,0.783747,1.130037,0.344088
158,488,63,80,95,0.457143,0.885662,0.859155,0.885662,0.140845,0.872207,0.782369,1.132026,0.34613
159,488,63,79,96,0.451429,0.885662,0.86067,0.885662,0.13933,0.872987,0.780992,1.134023,0.372333
160,488,63,78,97,0.445714,0.885662,0.862191,0.885662,0.137809,0.873769,0.779614,1.136026,0.395731
161,488,63,77,98,0.44,0.885662,0.863717,0.885662,0.136283,0.874552,0.778237,1.138037,0.397933
162,488,63,76,99,0.434286,0.885662,0.865248,0.885662,0.134752,0.875336,0.77686,1.140055,0.437308
163,487,64,76,99,0.434286,0.883848,0.865009,0.883848,0.134991,0.874327,0.775482,1.139739,0.443584
164,487,64,75,100,0.428571,0.883848,0.866548,0.883848,0.133452,0.875112,0.774105,1.141767,0.446968
165,486,65,75,100,0.428571,0.882033,0.86631,0.882033,0.13369,0.874101,0.772727,1.141454,0.447539
166,486,65,74,101,0.422857,0.882033,0.867857,0.882033,0.132143,0.874887,0.77135,1.143492,0.459602
167,486,65,73,102,0.417143,0.882033,0.86941,0.882033,0.13059,0.875676,0.769972,1.145538,0.479153
168,486,65,72,103,0.411429,0.882033,0.870968,0.882033,0.129032,0.876465,0.768595,1.147591,0.480587
169,486,65,71,104,0.405714,0.882033,0.872531,0.882033,0.127469,0.877256,0.767218,1.149651,0.480642
170,486,65,70,105,0.4,0.882033,0.874101,0.882033,0.125899,0.878049,0.76584,1.151719,0.487361
171,485,66,70,105,0.4,0.880218,0.873874,0.880218,0.126126,0.877034,0.764463,1.15142,0.488432
172,485,66,69,106,0.394286,0.880218,0.875451,0.880218,0.124549,0.877828,0.763085,1.153498,0.49495
173,484,67,69,106,0.394286,0.878403,0.875226,0.878403,0.124774,0.876812,0.761708,1.153202,0.49975
174,483,68,69,106,0.394286,0.876588,0.875,0.876588,0.125,0.875793,0.760331,1.152904,0.51366
175,482,69,69,106,0.394286,0.874773,0.874773,0.874773,0.125227,0.874773,0.758953,1.152605,0.519998
176,482,69,68,107,0.388571,0.874773,0.876364,0.874773,0.123636,0.875568,0.757576,1.154701,0.520056
177,481,70,68,107,0.388571,0.872958,0.876138,0.872958,0.123862,0.874545,0.756198,1.154404,0.523803
178,480,71,68,107,0.388571,0.871143,0.875912,0.871143,0.124088,0.873521,0.754821,1.154106,0.533052
179,480,71,67,108,0.382857,0.871143,0.877514,0.871143,0.122486,0.874317,0.753444,1.156216,0.53706
180,480,71,66,109,0.377143,0.871143,0.879121,0.871143,0.120879,0.875114,0.752066,1.158333,0.538788
181,480,71,65,110,0.371429,0.871143,0.880734,0.871143,0.119266,0.875912,0.750689,1.160459,0.539643
182,479,72,65,110,0.371429,0.869328,0.880515,0.869328,0.119485,0.874886,0.749311,1.16017,0.543087
183,479,72,64,111,0.365714,0.869328,0.882136,0.869328,0.117864,0.875686,0.747934,1.162307,0.54898
184,478,73,64,111,0.365714,0.867514,0.881919,0.867514,0.118081,0.874657,0.746556,1.16202,0.550373
185,477,74,64,111,0.365714,0.865699,0.881701,0.865699,0.118299,0.873626,0.745179,1.161732,0.551222
186,476,75,64,111,0.365714,0.863884,0.881481,0.863884,0.118519,0.872594,0.743802,1.161444,0.558587
187,475,76,64,111,0.365714,0.862069,0.881262,0.862069,0.118738,0.87156,0.742424,1.161154,0.567051
188,474,77,64,111,0.365714,0.860254,0.881041,0.860254,0.118959,0.870523,0.741047,1.160863,0.579879
189,474,77,63,112,0.36,0.860254,0.882682,0.860254,0.117318,0.871324,0.739669,1.163025,0.592418
190,474,77,62,113,0.354286,0.860254,0.884328,0.860254,0.115672,0.872125,0.738292,1.165195,0.595916
191,473,78,62,113,0.354286,0.858439,0.884112,0.858439,0.115888,0.871087,0.736915,1.16491,0.61356
192,472,79,62,113,0.354286,0.856624,0.883895,0.856624,0.116105,0.870046,0.735537,1.164624,0.624249
193,471,80,62,113,0.354286,0.854809,0.883677,0.854809,0.116323,0.869004,0.73416,1.164337,0.626069
194,470,81,62,113,0.354286,0.852995,0.883459,0.852995,0.116541,0.867959,0.732782,1.164049,0.659015
195,469,82,62,113,0.354286,0.85118,0.883239,0.85118,0.116761,0.866913,0.731405,1.16376,0.66208
196,468,83,62,113,0.354286,0.849365,0.883019,0.849365,0.116981,0.865865,0.730028,1.16347,0.673226
197,467,84,62,113,0.354286,0.84755,0.882798,0.84755,0.117202,0.864815,0.72865,1.163178,0.67823
198,467,84,61,114,0.348571,0.84755,0.88447,0.84755,0.11553,0.865616,0.727273,1.165381,0.690019
199,467,84,60,115,0.342857,0.84755,0.886148,0.84755,0.113852,0.866419,0.725895,1.167592,0.690645
200,466,85,60,115,0.342857,0.845735,0.885932,0.845735,0.114068,0.865367,0.724518,1.167307,0.692527
201,465,86,60,115,0.342857,0.84392,0.885714,0.84392,0.114286,0.864312,0.72314,1.167021,0.696674
202,464,87,60,115,0.342857,0.842105,0.885496,0.842105,0.114504,0.863256,0.721763,1.166734,0.70173
203,463,88,60,115,0.342857,0.84029,0.885277,0.84029,0.114723,0.862197,0.720386,1.166445,0.710021
204,462,89,60,115,0.342857,0.838475,0.885057,0.838475,0.114943,0.861137,0.719008,1.166156,0.710086
205,462,89,59,116,0.337143,0.838475,0.886756,0.838475,0.113244,0.86194,0.717631,1.168394,0.711002
206,462,89,58,117,0.331429,0.838475,0.888462,0.838475,0.111538,0.862745,0.716253,1.170641,0.734023
207,461,90,58,117,0.331429,0.836661,0.888247,0.836661,0.111753,0.861682,0.714876,1.170358,0.734794
208,461,90,57,118,0.325714,0.836661,0.889961,0.836661,0.110039,0.862488,0.713499,1.172617,0.736107
209,460,91,57,118,0.325714,0.834846,0.889749,0.834846,0.110251,0.861423,0.712121,1.172337,0.740839
210,459,92,57,118,0.325714,0.833031,0.889535,0.833031,0.110465,0.860356,0.710744,1.172055,0.742693
211,459,92,56,119,0.32,0.833031,0.891262,0.833031,0.108738,0.861163,0.709366,1.174331,0.757838
